Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Anthony Johnson\JohnAn05,WR,Buffalo,College Stats,6-2,209,,32.5,18,122,7.12,,
Bisi Johnson\JohnOl00,WR,Colorado St.,College Stats,6-0,204,4.51,38.0,14,124,6.88,4.16,/ 7th / 247th pick / 2019
Darryl Johnson,EDGE,North Carolina A&T,,6-6,253,,,20,,,,
Devon Johnson,OT,Ferris St.,,6-7,338,5.16,27.5,26,89,8.34,5.28,
Diontae Johnson\JohnDi01,WR,Toledo,College Stats,5-10,183,4.53,33.5,15,123,7.09,4.45,/ 3rd / 66th pick / 2019
Fred Johnson\JohnFr00,OL,Florida,College Stats,6-7,326,,,,,,,
Gary Johnson\JohnGa02,LB,Texas,College Stats,6-0,226,4.43,33.5,16,121,7.15,4.57,
Isaiah Johnson\JohnIs02,CB,Houston,College Stats,6-2,208,4.40,36.5,,133,6.81,4.06,/ 4th / 129th pick / 2019
Jaquan Johnson\JohnJa07,S,Miami (FL),College Stats,5-10,191,4.69,33.0,18,121,,,
Keesean Johnson\JohnKe07,WR,Fresno St.,College Stats,6-1,201,4.60,30.0,14,117,7.28,4.23,/ 6th / 174th pick / 2019
Lonnie Johnson\JohnLo01,CB,Kentucky,College Stats,6-2,213,4.52,38.0,15,129,7.01,4.10,/ 2nd / 54th pick / 2019
Daniel Jones\JoneDa05,QB,Duke,College Stats,6-5,221,4.81,33.5,,120,7.00,4.41,/ 1st / 6th pick / 2019
Dre'Mont Jones\JoneDr00,DL,Ohio St.,College Stats,6-3,281,5.12,31.5,,110,7.71,4.53,/ 3rd / 71st pick / 2019
Jordan Jones\JoneJo04,LB,Kentucky,College Stats,6-2,234,4.62,32.5,23,123,,4.37,
Tyler Jones\JoneTy01,OT,North Carolina St.,College Stats,6-3,306,,31.5,23,111,7.75,4.82,
Michael Jordan\JordMi01,OT,Ohio St.,College Stats,6-6,312,5.27,32.5,19,116,7.71,4.71,/ 4th / 136th pick / 2019
Kendall Joseph\JoseKe01,LB,Clemson,College Stats,6-0,233,,,25,,,,
Vosean Joseph\JoseVo00,LB,Florida,College Stats,6-1,230,,,,,,,/ 5th / 147th pick / 2019
Kingsley Keke\KekeKi00,DL,Texas A&M,College Stats,6-3,288,4.95,31.5,,111,7.55,4.46,/ 5th / 150th pick / 2019
Brandon Knight\KnigBr00,OT,Indiana,College Stats,6-4,314,,,,,,,
Dawson Knox\KnoxDa00,TE,Mississippi,College Stats,6-4,254,,34.5,16,,7.12,4.27,/ 3rd / 96th pick / 2019
Tre Lamar\LamaTr00,LB,Clemson,College Stats,6-3,253,,,,,,,
Dexter Lawrence\LawrDe03,DL,Clemson,College Stats,6-4,342,5.05,,36,,,,/ 1st / 17th pick / 2019
Justin Layne\LaynJu00,CB,Michigan St.,College Stats,6-2,192,4.50,37.5,,134,6.90,4.09,/ 3rd / 83rd pick / 2019
Jonathan Ledbetter\LedbJo00,DL,Georgia,College Stats,6-4,280,5.14,26.5,22,108,,,
Iman Lewis-Marshall\MarsIm00,CB,USC,College Stats,6-1,207,4.53,,16,,,,/ 4th / 127th pick / 2019
Chris Lindstrom\LindCh00,OL,Boston Col.,College Stats,6-4,308,4.91,30.5,25,117,7.61,4.54,/ 1st / 14th pick / 2019
Greg Little\LittGr01,OT,Mississippi,College Stats,6-5,310,5.33,25.0,,113,,4.74,/ 2nd / 37th pick / 2019
Drew Lock\LockDr00,QB,Missouri,College Stats,6-4,228,4.69,31.0,,112,7.03,4.12,/ 2nd / 42nd pick / 2019
Damarkus Lodge\LodgDa00,WR,Mississippi,College Stats,6-2,202,4.55,33.5,11,119,7.06,4.53,
David Long\LongDa01,CB,Michigan,College Stats,5-11,196,4.45,39.5,15,120,6.45,3.97,
David Long\LongDa01,LB,Michigan,College Stats,5-11,227,4.45,39.5,15,120,,,
Bryce Love\LoveBr00,RB,Stanford,College Stats,5-9,200,,,18,,,,/ 4th / 112th pick / 2019
Julian Love\LoveJu00,CB,Notre Dame,College Stats,5-11,195,4.54,36.0,14,121,6.72,4.10,/ 4th / 108th pick / 2019
Alize Mack\MackAl00,TE,Notre Dame,College Stats,6-4,249,4.70,36.0,22,120,7.27,4.34,/ 7th / 231st pick / 2019
Daylon Mack\MackDa00,DL,Texas A&M,College Stats,6-1,336,5.10,27.0,30,102,8.02,4.95,/ 5th / 160th pick / 2019
Alexander Mattison\MattAl01,RB,Boise St.,College Stats,5-11,221,4.67,35.0,22,127,7.13,4.29,/ 3rd / 102nd pick / 2019
Erik McCoy\McCoEr01,OL,Texas A&M,College Stats,6-4,303,4.89,31.0,29,107,8.28,4.62,/ 2nd / 48th pick / 2019
Kaleb McGary\McGaKa00,OT,Washington,College Stats,6-7,317,5.05,33.5,23,111,7.66,4.58,/ 1st / 31st pick / 2019
Connor McGovern\McGoCo01,OL,Penn St.,College Stats,6-5,308,,,28,112,7.66,4.57,/ 3rd / 90th pick / 2019
